data_source,sttsAccmlTrgtYr,areaNm,sexNm,rchnAggr,isuKindNm,joinCnt,joinRto,taxPrqlYn,pymtMthNm,offrTyNm,yerUnitPymtTerm
국민보험가입현황,2018,대구,여자,10세 미만,질병,1454,.5,,,,
국민보험가입현황,2018,전북,남자,20대,정기,3075,3.2,,,,
국민보험가입현황,2018,전북,여자,20대,정기,2827,3.4,,,,
국민보험가입현황,2018,전북,남자,20대,상해,4943,4.7,,,,
국민보험가입현황,2018,전북,여자,20대,상해,4593,4.6,,,,
국민보험가입현황,2018,전북,남자,20대,질병,32641,19.1,,,,
국민보험가입현황,2018,전북,여자,20대,질병,33769,22.8,,,,
국민보험가입현황,2018,전북,남자,20대,건강,6383,6.6,,,,
국민보험가입현황,2018,전북,여자,20대,건강,6268,7.3,,,,
국민보험가입현황,2018,전북,남자,20대,암,11648,10.3,,,,
국민보험가입현황,2018,전북,여자,20대,암,11930,11.8,,,,
국민보험가입현황,2018,전북,남자,20대,변액,19809,13.7,,,,
국민보험가입현황,2018,전남,여자,20대,연금,8599,8.8,,,,
국민보험가입현황,2018,전남,남자,20대,종신,41906,29.9,,,,
국민보험가입현황,2018,전남,여자,20대,종신,34111,29.5,,,,
국민보험가입현황,2018,전남,남자,20대,정기,3240,3,,,,
국민보험가입현황,2018,전남,여자,20대,정기,2718,3,,,,
국민보험가입현황,2018,전남,남자,20대,상해,5249,5.1,,,,
국민보험가입현황,2018,전남,여자,20대,상해,4458,4.9,,,,
국민보험가입현황,2018,전남,남자,20대,질병,38707,22.9,,,,
국민보험가입현황,2018,전남,여자,20대,질병,38862,27.6,,,,
국민보험가입현황,2018,전남,남자,20대,건강,7489,7.6,,,,
국민보험가입현황,2018,경남,여자,20대,정기,4805,2.6,,,,
국민보험가입현황,2018,세종/기타,남자,20대,연금,2852,7,,,,
국민보험가입현황,2018,전북,여자,20대,종신,36066,29.5,,,,
국민보험가입현황,2018,전북,남자,20대,종신,41999,29.4,,,,
국민보험가입현황,2018,경남,남자,10대,암,2971,1.8,,,,
국민보험가입현황,2018,경남,여자,10대,암,2952,1.9,,,,
국민보험가입현황,2018,경남,남자,10대,변액,7354,3.6,,,,
국민보험가입현황,2018,경남,여자,10대,변액,5409,3,,,,
국민보험가입현황,2018,제주,남자,10대,연금,1267,3.1,,,,
국민보험가입현황,2018,제주,여자,10대,연금,1017,2.8,,,,
국민보험가입현황,2018,제주,남자,10대,종신,3350,8.2,,,,
국민보험가입현황,2018,제주,여자,10대,종신,2477,6.8,,,,
국민보험가입현황,2018,제주,남자,10대,정기,93,.5,,,,
국민보험가입현황,2018,제주,여자,10대,정기,91,.5,,,,
국민보험가입현황,2018,제주,남자,10대,상해,287,.8,,,,
국민보험가입현황,2018,충남,남자,20대,상해,4427,3.8,,,,
국민보험가입현황,2018,충남,여자,20대,상해,3737,3.6,,,,
국민보험가입현황,2018,충남,남자,20대,질병,30004,16.6,,,,
국민보험가입현황,2018,충남,여자,20대,질병,30457,20.2,,,,
국민보험가입현황,2018,충남,남자,20대,건강,7605,6.9,,,,
국민보험가입현황,2018,충남,여자,20대,건강,7151,7.7,,,,
국민보험가입현황,2018,충남,남자,20대,암,11254,9.2,,,,
국민보험가입현황,2018,충남,여자,20대,암,11125,10.5,,,,
국민보험가입현황,2018,충남,남자,20대,변액,17536,11.3,,,,
국민보험가입현황,2018,충남,여자,20대,변액,14293,11.1,,,,
국민보험가입현황,2018,전북,남자,20대,연금,8205,7,,,,
국민보험가입현황,2018,전북,여자,20대,연금,8647,8.3,,,,
국민보험가입현황,2018,세종/기타,여자,20대,연금,3074,8.3,,,,
국민보험가입현황,2018,전남,여자,20대,건강,7327,8.9,,,,
국민보험가입현황,2018,전남,남자,20대,암,12703,11.4,,,,
국민보험가입현황,2018,경남,남자,20대,질병,60014,19.2,,,,
국민보험가입현황,2018,경남,여자,20대,질병,59956,23.6,,,,
국민보험가입현황,2018,경남,남자,20대,건강,12761,7,,,,
국민보험가입현황,2018,경남,여자,20대,건강,11614,7.7,,,,
국민보험가입현황,2018,경남,남자,20대,암,19580,9.3,,,,
국민보험가입현황,2018,경남,여자,20대,암,19009,10.9,,,,
국민보험가입현황,2018,경남,남자,20대,변액,41331,15.7,,,,
국민보험가입현황,2018,경남,여자,20대,변액,30849,14.5,,,,
국민보험가입현황,2018,제주,남자,20대,연금,2709,6.2,,,,
국민보험가입현황,2018,제주,여자,20대,연금,3637,9.4,,,,
국민보험가입현황,2018,제주,남자,20대,종신,14764,28.9,,,,
국민보험가입현황,2018,제주,여자,20대,종신,12911,28.3,,,,
국민보험가입현황,2018,제주,남자,20대,정기,1049,3,,,,
국민보험가입현황,2018,제주,여자,20대,정기,1049,3.3,,,,
국민보험가입현황,2018,제주,남자,20대,상해,1333,3.9,,,,
국민보험가입현황,2018,제주,여자,20대,상해,1207,3.3,,,,
국민보험가입현황,2018,제주,남자,20대,질병,10202,17,,,,
국민보험가입현황,2018,제주,여자,20대,질병,11365,21.2,,,,
국민보험가입현황,2018,제주,남자,20대,건강,2814,8.1,,,,
